Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,62,
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Hypertensive diseases,I10-I15,85+,104,
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Hypertensive diseases,I10-I15,All ages,246,
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,12,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,26,
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,48,
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Ischemic heart disease,I20-I25,85+,67,
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Ischemic heart disease,I20-I25,All ages,158,
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cardiac arrest,I46,0-24,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cardiac arrest,I46,25-34,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cardiac arrest,I46,35-44,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cardiac arrest,I46,45-54,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cardiac arrest,I46,55-64,12,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cardiac arrest,I46,65-74,25,
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cardiac arrest,I46,75-84,17,
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cardiac arrest,I46,85+,20,
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cardiac arrest,I46,Not stated,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cardiac arrest,I46,All ages,85,
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,19,
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,45,
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,52,
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All ages,123,
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Heart failure,I50,0-24,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Heart failure,I50,25-34,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Heart failure,I50,35-44,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Heart failure,I50,45-54,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Heart failure,I50,55-64,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Heart failure,I50,65-74,17,
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Heart failure,I50,75-84,45,
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Heart failure,I50,85+,75,
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Heart failure,I50,Not stated,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Heart failure,I50,All ages,144,
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,19,
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,19,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,38,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Cerebrovascular diseases,I60-I69,All ages,86,
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,17,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,33,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,25,
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,36,
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All ages,118,
8/3/2020,2/1/2020,8/1/2020,WA,Sepsis,Sepsis,A40-A41,0-24,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Sepsis,Sepsis,A40-A41,25-34,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Sepsis,Sepsis,A40-A41,35-44,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Sepsis,Sepsis,A40-A41,45-54,10,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Sepsis,Sepsis,A40-A41,55-64,15,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Sepsis,Sepsis,A40-A41,65-74,34,
8/3/2020,2/1/2020,8/1/2020,WA,Sepsis,Sepsis,A40-A41,75-84,39,
8/3/2020,2/1/2020,8/1/2020,WA,Sepsis,Sepsis,A40-A41,85+,33,
8/3/2020,2/1/2020,8/1/2020,WA,Sepsis,Sepsis,A40-A41,Not stated,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Sepsis,Sepsis,A40-A41,All ages,134,
8/3/2020,2/1/2020,8/1/2020,WA,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,26,
8/3/2020,2/1/2020,8/1/2020,WA,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,15,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,30,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Malignant neoplasms,Malignant neoplasms,C00-C97,All ages,84,
8/3/2020,2/1/2020,8/1/2020,WA,Diabetes,Diabetes,E10-E14,0-24,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Diabetes,Diabetes,E10-E14,25-34,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Diabetes,Diabetes,E10-E14,35-44,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Diabetes,Diabetes,E10-E14,45-54,12,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Diabetes,Diabetes,E10-E14,55-64,36,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Diabetes,Diabetes,E10-E14,65-74,49,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Diabetes,Diabetes,E10-E14,75-84,71,
8/3/2020,2/1/2020,8/1/2020,WA,Diabetes,Diabetes,E10-E14,85+,47,
8/3/2020,2/1/2020,8/1/2020,WA,Diabetes,Diabetes,E10-E14,Not stated,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Diabetes,Diabetes,E10-E14,All ages,219,
8/3/2020,2/1/2020,8/1/2020,WA,Obesity,Obesity,E65-E68,0-24,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Obesity,Obesity,E65-E68,25-34,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Obesity,Obesity,E65-E68,35-44,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Obesity,Obesity,E65-E68,45-54,16,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Obesity,Obesity,E65-E68,55-64,14,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Obesity,Obesity,E65-E68,65-74,16,
8/3/2020,2/1/2020,8/1/2020,WA,Obesity,Obesity,E65-E68,75-84,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Obesity,Obesity,E65-E68,85+,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Obesity,Obesity,E65-E68,Not stated,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Obesity,Obesity,E65-E68,All ages,63,
8/3/2020,2/1/2020,8/1/2020,WA,Alzheimer disease,Alzheimer disease,G30,0-24,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Alzheimer disease,Alzheimer disease,G30,25-34,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Alzheimer disease,Alzheimer disease,G30,35-44,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Alzheimer disease,Alzheimer disease,G30,45-54,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Alzheimer disease,Alzheimer disease,G30,55-64,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Alzheimer disease,Alzheimer disease,G30,65-74,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Alzheimer disease,Alzheimer disease,G30,75-84,35,
8/3/2020,2/1/2020,8/1/2020,WA,Alzheimer disease,Alzheimer disease,G30,85+,85,
8/3/2020,2/1/2020,8/1/2020,WA,Alzheimer disease,Alzheimer disease,G30,Not stated,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Alzheimer disease,Alzheimer disease,G30,All ages,127,
8/3/2020,2/1/2020,8/1/2020,WA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,13,
8/3/2020,2/1/2020,8/1/2020,WA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,53,
8/3/2020,2/1/2020,8/1/2020,WA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,83,
8/3/2020,2/1/2020,8/1/2020,WA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All ages,150,
8/3/2020,2/1/2020,8/1/2020,WA,Renal failure,Renal failure,N17-N19,0-24,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Renal failure,Renal failure,N17-N19,25-34,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Renal failure,Renal failure,N17-N19,35-44,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Renal failure,Renal failure,N17-N19,45-54,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Renal failure,Renal failure,N17-N19,55-64,13,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Renal failure,Renal failure,N17-N19,65-74,40,
8/3/2020,2/1/2020,8/1/2020,WA,Renal failure,Renal failure,N17-N19,75-84,48,
8/3/2020,2/1/2020,8/1/2020,WA,Renal failure,Renal failure,N17-N19,85+,39,
8/3/2020,2/1/2020,8/1/2020,WA,Renal failure,Renal failure,N17-N19,Not stated,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Renal failure,Renal failure,N17-N19,All ages,151,
8/3/2020,2/1/2020,8/1/2020,WA,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,17,
8/3/2020,2/1/2020,8/1/2020,WA,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,18,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,24,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",Not stated,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All ages,63,
8/3/2020,2/1/2020,8/1/2020,WA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,11,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,56,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,115,
8/3/2020,2/1/2020,8/1/2020,WA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",65-74,222,
8/3/2020,2/1/2020,8/1/2020,WA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",75-84,316,
8/3/2020,2/1/2020,8/1/2020,WA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",85+,416,
8/3/2020,2/1/2020,8/1/2020,WA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",Not stated,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",All ages,"1,141",
8/3/2020,2/1/2020,8/1/2020,WA,Coronavirus Disease 2019,COVID-19,U071,0-24,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Coronavirus Disease 2019,COVID-19,U071,25-34,,Counts less than 10 suppressed.
8/3/2020,2/1/2020,8/1/2020,WA,Coronavirus Disease 2019,COVID-19,U071,35-44,21,Counts less than 10 suppressed.
